放纸钱,莆仙丧葬习俗，由执事一人担一挑银箔纸锭，或用篮装后由长子或长孙提着，出殡时在灵柩前随行随洒。,
放软携手,放手不管。,
放帖,办喜事时分送给亲戚朋友的请帖。,
放定,莆仙婚俗，定亲。,
放空,空着：有内容厄填，无厄～许（有内容的就填，没有的就空着）|逐（每一）题都做出外，无～。,
放炮,放鞭炮。,
放昼,中午放学。,
放档,惊蛰前后，用竹筒放水捕鱼的方法。,
放凊屁,说鬼话。,
放铳,开枪。,
放脚放手,放手（干）。,
放裤窗,在裤裆上开口，做成幼儿穿的裤子。,
放暝,下午放学。,
放嫽,①捉弄；取笑：我蜀句话讲错，乞伊～。②玩弄：～水|△手无缚，好～（小孩子喜欢乱动东西）③从中作梗：我者环（这次）无名，完全是乞伊～。‖③义也叫【放嫽汤】见下方，【放汤】见上方。,
放嫽汤,‖同【放嫽】。,
办牵,处理：事体～了未（事情办好了没有）。,
办食,供应伙食：者个鞋厂有～。,
办盘,嫁出的女儿为娘家喜庆备办的礼盘。,
办骚事,捣乱；搞恶作剧：无央侬做事体，尽行～（没有办人做事情，专门捣乱）。,
扁食,馄饨。,
包包,包儿；手提包。,
包砖,用砖头从下往上砌，将房子外墙包起来，以抵御暴风雨。,
包菜腌,盐腌包菜。,
包菜糜,包菜、猪肉等加入大米中煮成的饭。,
包袱伞,出门所带的常用品。△和尚～（揶揄某人出门时带很多不必要的东西）。,
貌相,相貌。一般指男子，特指好看英俊的相貌：～好|有～。,
玻璃钮,用玻璃做的钮扣。,
扒马,扒手。,
扒饴,勤俭做家。,
扒胎,‖同【拍胎】在第145页。,
扒鼎,扒去锅身上的烟灰。△～十八手（喻看似简单的工作，也不简单）。,
爬天梯,做难度非常大甚至办不来的事情：汝叫我去～。,
麻疯出面,喻隐藏的东西已经暴露了。,
马耳,莆田特色小吃。面粉经发酵后，加白糖、芝麻，油炸而成。外形像马的耳朵。,
马蛋,莆仙特色食品。糯米浆滤水后，拌白糖揉制成皮，包甜豆沙馅，沾上白芝麻，油炸而成的球状（直径约④厘米）食品。,
马跳日,象棋下法之一。马的跳步是成日字格。,
马蹄酥,一种面粉油炸食品。,
把,量词。用于成捆成束的：两～白菜|蜀～米|买蜀～香。,
码面,房屋前面大门两边的墙。,
码面窗,房屋大门两旁厢房前的窗户。,
保险,关机。,
报孽命,辛苦劳碌的命。,
